"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENST00000529999.5",-0.652833472416972,-0.658321237933723,-0.014384090685994,0.341846144595853,0.956081215643064
"ENST00000407324.5",0.270793651614194,0.270944924499278,3.68481140036747,0.733994727446424,1
"ENST00000410067.8",0.0985578909168987,0.0987292269991783,2.09104566063654,0.857668155339898,1
"ENST00000409302.1",-0.273397806061708,-0.275001685878047,0.40464807199116,0.890390608320232,1
"ENST00000485709.1",0.282114897877286,0.283437679226655,0.706653663179379,0.637840207345725,1
"ENST00000693451.1",0.588600968532913,0.595967921313242,-0.552151655817405,0.486624603921508,1
"ENST00000498623.6",0.601996933624268,0.604187521941353,1.09353900428837,0.315266871664849,0.930290379453367
"ENST00000397261.8",-0.0963867690404806,-0.0963912168855922,7.26575424566285,0.999999999920813,1
"ENST00000417500.5",-0.258659592244389,-0.259605676258781,1.05718460897225,0.657676743900591,1
"ENST00000467289.5",1.1059598787443,1.11121283034034,0.810305901862323,0.105922746561913,0.568144148419884
"ENST00000485273.1",-0.464657662774651,-0.465410661506322,2.170868228344,0.423211687935553,1
"ENST00000313486.12",0.132049373627202,0.132060192899266,6.42826378316643,0.999936352567081,1
"ENST00000575288.5",-0.409190182697718,-0.410567522691606,1.18801073295281,0.493797941855324,1
"ENST00000575895.5",-0.760128652214861,-0.763151969267041,0.983554977851304,0.197817003119457,0.780986791739202
"ENST00000331299.6",1.32642246082836,1.33188072723244,1.06834580707495,0.0177607501766886,0.174757301804845
"ENST00000555449.5",0.572084423263038,0.576042880355902,0.230908861322361,0.341907945913282,0.956081215643064
"ENST00000277874.10",0.55380747196766,0.554894841029161,1.94682509603035,0.314479354069529,0.929558969632473
"ENST00000371719.2",1.28365936862511,1.28767817243192,1.42393471559621,0.0324925243016619,0.271619197514399
"ENST00000336152.8",2.50727960068416,2.51677505584448,1.61067525389528,0.0320007051103874,0.268769695713922
"ENST00000693374.1",-0.281350361499637,-0.283422129924087,0.0867647532422816,0.742466245706131,1
"ENST00000688962.1",-0.214251391180489,-0.216263645763957,-0.25657929535678,0.90880407934441,1
"ENST00000690367.1",4.88854221818066,5.04231671380172,0.251127529112248,4.56295847585868e-06,0.000129290600632956
"ENST00000687447.1",-1.49872293635871,-1.52595585919269,-0.772171248600101,0.533715133909081,1
"ENST00000689754.1",1.98248332443361,2.01391674229372,-0.489796389560017,0.409912662216042,1
"ENST00000691370.1",-0.812067877705435,-0.816106108894371,0.684049380655328,0.312609736433231,0.929255016270886
"ENST00000453269.7",-0.325698272518911,-0.325771363499825,4.99612547078488,0.687961007353696,1
"ENST00000452041.5",0.313689757554329,0.313858263774714,3.74934214453552,0.560473818777462,1
"ENST00000344095.8",0.896859739680052,0.898071108128557,2.50120230815291,0.167137671592009,0.720438298949035
"ENST00000451699.6",-0.83008888687821,-0.834120649477065,0.715896261728616,0.53654800268457,1
"ENST00000437822.6",0.00335056099039054,0.00335157037347789,-0.269308773112971,0.998946074338039,1
"ENST00000687641.1",0.296295561000309,0.299149417286687,-0.226998055457768,0.838697713166328,1
"ENST00000374007.5",0.270161966068312,0.270621428962899,2.11154709597075,0.616297652567922,1
"ENST00000645350.1",0.837826921935433,0.844014505624265,0.180891272064203,0.744687121386578,1
"ENST00000643851.1",1.76970357641011,1.78297727885056,0.395125050203532,0.499740293191672,1
"ENST00000643505.1",0.926281779884474,0.931562307999311,0.526594858566195,0.653896230533167,1
"ENST00000374006.1",0.82041752268902,0.831391802708972,-0.617754226788039,0.45052839436679,1
"ENST00000353739.8",0.519120853994339,0.519563666836397,3.10260665506974,0.595557003932741,1
"ENST00000350199.8",-0.304442849887779,-0.304665977406229,3.29252993834694,0.572280132992364,1
"ENST00000357058.7",0.0165295031146984,0.0165648450821682,1.44655866487831,0.990550322803923,1
"ENST00000377885.6",2.85834047966018,2.86361456725768,2.81625351704086,0.00577426226951542,0.0727116013197198
"ENST00000383382.8",0.00866415010982245,0.00867035656411265,2.74121568362469,0.988130651956518,1
"ENST00000423556.7",-0.953047159621708,-0.953346999550883,4.60181308306793,0.00402220535158879,0.0543712265474107
"ENST00000394071.6",0.0117684434847495,0.0117829633472658,2.83938371452155,0.983538628802582,1
"ENST00000451078.5",-8.06644263886857,-144269485.07253,0.0692735422144843,1.105871883357e-10,7.09319611178002e-09
"ENST00000421182.5",0.0652667857987287,0.0653169326147983,3.28306472968238,0.904822539257484,1
"ENST00000354785.11",-0.49167743166109,-0.491677782632756,13.2999448329499,0.657397561216833,1
"ENST00000323926.10",2.29326635681631,2.29505473750472,3.75921493268486,0.0118393729871382,0.128877317262197
"ENST00000336916.8",-0.217514801542505,-0.217517025597078,9.43747540228581,0.897667966230297,1
"ENST00000492816.6",-0.211661398965699,-0.211691052831328,5.66640711260326,0.778216787924217,1
"ENST00000446046.5",-0.700086556686361,-0.700087502179687,12.4084168924374,0.069167549017825,0.442946953960504
"ENST00000443816.5",-0.507683890279193,-0.507684581861289,12.3695338929321,0.611453189340366,1
"ENST00000432072.6",-0.951227198393721,-0.951239817627753,9.15959578577322,0.000277009677905085,0.0054058784753472
"ENST00000498719.1",-0.181836900416528,-0.182093670785737,2.35645422701281,0.738986593302604,1
"ENST00000456923.5",-0.414843376619813,-0.414845945969437,10.1749110431986,0.456449532625829,1
"ENST00000494446.1",0.849579141188731,0.851146364669159,2.06138294921188,0.287769378077705,0.90558236025543
"ENST00000469569.1",-0.365671183922444,-0.369322169659088,-0.253567819292475,0.585537663139278,1
"ENST00000473614.1",0.0336435986164516,0.0338173803031281,0.614077141308021,0.959450416782661,1
"ENST00000480024.1",-0.0371848821529831,-0.0372496279337439,2.0576180381529,0.945706061161166,1
"ENST00000461974.1",0.0119934726327136,0.0119949978210601,5.83183516550177,0.982740912394573,1
"ENST00000460217.1",-0.423788560163106,-0.425184698391797,1.19654214279019,0.45960171359807,1
"ENST00000474036.1",-0.381692342212992,-0.381846693036201,4.16041121938458,0.53859507765401,1
"ENST00000490833.5",-1.03851785147086,-1.04796012583355,-0.0761329579059818,0.0940981951597562,0.53203515017708
"ENST00000480737.1",-0.0939450209052694,-0.0940706558118059,2.47652727367162,0.880371473871559,1
"ENST00000426059.1",-0.325440858757226,-0.325566177920062,4.22808834492008,0.655345470544601,1
"ENST00000392391.9",0.522307032652444,0.522717026375988,3.20878383813059,0.326869689984073,0.943965056439017
"ENST00000453218.6",-0.011776288583481,-0.0118211019039899,-0.203215612807591,0.990031180648635,1
"ENST00000318636.8",-0.687203258075184,-0.68881724809667,1.69040617449671,0.198675193555169,0.782293460054384
"ENST00000458076.6",1.54393832557316,1.550784960032,1.00593299525141,0.0751702424820314,0.467075401150914
"ENST00000367739.9",-0.309496115895841,-0.309613217846091,4.23950264768018,0.714861953077575,1
"ENST00000696695.1",-0.379124162474519,-0.381563927011735,0.271437369542588,0.850483935986566,1
"ENST00000414770.6",-0.0257221599672699,-0.0262804691400314,-0.849128364290816,0.987993424861341,1
"ENST00000397267.6",0.501839828921952,0.502143009848003,3.59289037169379,0.368045636766584,0.974087845592945
"ENST00000354772.10",0.405337484315833,0.405433675565159,4.91731552917648,0.741548074483947,1
"ENST00000579860.5",-0.796995976652403,-0.804666681832401,-0.151152745576473,0.360452854219647,0.969770318823725
"ENST00000556440.7",0.323409090277724,0.323776088012092,2.68674258972575,0.555402940843756,1
"ENST00000581885.1",-1.49284761958288,-1.50796163518829,-0.0824844546777989,0.0345688790220557,0.283594267582316
"ENST00000383434.6",0.795856812118366,0.797209381613405,2.15477611507775,0.122511978429532,0.617608335943438
